Object Number,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Suffix,Artist Nationality,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags
54.549.66,269735,Photographs,Photograph,Sous bois,,,,,,Artist,,Léonard Misonne,,Belgian,1922,1922.0,Bromoil print,,"Gift of Clarence McK. Lewis, 1954",,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/269735,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
47.62.3,271904,Photographs,Glass positive,Margaret Eakins,,,,,,Artist,,Thomas Eakins,,American,1880,1889.0,Glass positive ,,"Gift of Charles Bregler, 1947",,,,,,,,,,,Transparencies,,http://www.metmuseum.org/art/collection/search/271904,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Portraits|Women
1994.254.26,273592,Photographs,Negative,[Peggy Bacon],,,,,,Artist,,Walker Evans,,American,1934,1934.0,Film negative,4 x 5 in.,"Walker Evans Archive, 1994",,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/273592,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Portraits|Women
1994.253.166,276937,Photographs,Negative,"[Two 35mm Film Frames: Boys Playing on Stoop Near Elevated Train Tracks, New York City]",,,,,,Artist,,Walker Evans,,American,1933,1934.0,Film negative,35mm,"Walker Evans Archive, 1994",,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/276937,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Buildings|Railways|Boys
2005.100.516,286197,Photographs,Photograph,"Rouen, Place Eau-de-Robec",,,,,,Artist,,Eugène Atget,,French,1908,1908.0,Matte albumen silver print from glass negative,Image: 22.7 x 17.4 cm (8 15/16 x 6 7/8 in.)Sheet: 22.9 × 17.7 cm (9 in. × 6 15/16 in.),"Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/286197,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Doors|Girls
1978.412.1023,311479,"Arts of Africa, Oceania, and the Americas",Horn,Horn,Asmat people,,,,,,,,,,1900,2000.0,Bamboo,H. 17 in. (43.2 cm),"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",,,,Indonesia,,,,,,,Wood-Musical Instruments,,http://www.metmuseum.org/art/collection/search/311479,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Horns
1979.206.477,312687,"Arts of Africa, Oceania, and the Americas",Snake figure,Coiled Serpent,Aztec,,,,,,,,,,1400,1600.0,"Stone, pigment",H.14 x W. 12 1/4 x D. 12 3/8 in. (35.6 x 31.1 x 31.5 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",,,,Mexico,Mesoamerica,,,,,,Stone-Sculpture,,http://www.metmuseum.org/art/collection/search/312687,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Serpents
1979.206.842,313019,"Arts of Africa, Oceania, and the Americas",Pendant,Figure Pendant,Atlantic Watershed,,,,,,,,,,300,800.0,Jadeite,H. 2 7/8 x W. 1 5/8 x D. 3/8 in. (7.3 x 4.1 x 1cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",,,,Costa Rica,,,,,,,Stone-Ornaments|Jade,,http://www.metmuseum.org/art/collection/search/313019,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Human Figures|Pendants
1992.408.5,316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,1900,2000.0,"Paper, paint",Height 30-1/2 in.,"Gift of Lita Osmundsen, 1992",,,,Papua New Guinea,Prince Alexander Mountains,,,,,Middle Sepik River,Paper-Paintings,,http://www.metmuseum.org/art/collection/search/316760,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Abstraction
1994.35.185,317005,"Arts of Africa, Oceania, and the Americas",Cloth,Carrying Cloth,Quechua,,,,,,,,,,1900,2000.0,Camelid hair,H. 27 x W. 22 in. (68.6 x 55.9 cm),"Bequest of Arthur M. Bullowa, 1993",,,,Peru,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/317005,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Textiles
1994.35.276,317135,"Arts of Africa, Oceania, and the Americas",Ritual stone,Stone Pulidor,Mexican,,,,,,,,,,1200,1600.0,Stone,Length 1-7/16 in.,"Bequest of Arthur M. Bullowa, 1993",,,,Mexico,Mesoamerica,,,,,,Stone-Implements,,http://www.metmuseum.org/art/collection/search/317135,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Tools and Equipment
1999.47.153b,319532,"Arts of Africa, Oceania, and the Americas",Costume element,Ceremonial Costume Element,Timor,,,,,,,,,,1850,1950.0,"Cotton, glass beads",Width 17-1/2 in.,"Bequest of John B. Elliott, 1997",,,,Indonesia,Timor island,,,,,,Textiles-Costumes,,http://www.metmuseum.org/art/collection/search/319532,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Textiles
38.40.327,323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,Chalcolithic–Early Bronze Age,,,,,,,,,-3505,-3100.0,"Ceramic, paint",2.6 x 0.39 in. (6.6 x 0.99 cm),"Rogers Fund, 1938",,,,,Iran,Nishapur,,,,,Ceramics-Vessels,,http://www.metmuseum.org/art/collection/search/323644,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Architectural Fragments
65.64,325714,Ancient Near Eastern Art,Sculpture,Bird standard,,Early Bronze Age,,,,,,,,,-2500,-2500.0,Copper alloy,5 x 8.19 x 3.35 in. (12.7 x 20.8 x 8.51 cm),"Purchase, Schimmel Foundation Inc. Gift, 1965",,,,,Southeastern Iran,,,,,,Metalwork-Sculpture,,http://www.metmuseum.org/art/collection/search/325714,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Birds
1985.356.45,327150,Ancient Near Eastern Art,Bead,Bead,,Neolithic,,,,,,,,,-7000,-5000.0,Calcite,0.28 x 0.62 x 0.89 in. (0.71 x 1.57 x 2.26 cm),"Gift of Sheldon and Barbara Breitbart, 1985",,,,,Syria,,,,,,Stone-Ornaments,,http://www.metmuseum.org/art/collection/search/327150,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Beads
41.12.93,339097,Drawings and Prints,Print; Poster,New York Ledger: Bicycle Number,,,,,,Artist|Publisher,,Henry Brevoort Eddy|New York Ledger,,American,1895,1895.0,Lithograph,Sheet: 13 9/16 × 16 1/4 in. (34.5 × 41.2 cm)Image: 11 1/2 × 13 7/8 in. (29.2 × 35.3 cm),"Gift of Bessie Potter Vonnoh, 1941",,,,,,,,,,,Prints|Posters,,http://www.metmuseum.org/art/collection/search/339097,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Human Figures|Birds|Journals|Dogs
64.38.3,339407,Drawings and Prints,Drawing,Figure Studies,,,,,,Artist,,Giovanni Battista Tiepolo,,Italian,1696,1770.0,"Pen and brown ink, over black chalk, on beige paper",9-7/8 x 13-7/16 in.  (25.1 x 34.1 cm),"Rogers Fund, 1964",,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/339407,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
27.78.1(406),341146,Drawings and Prints,Print,Reciprocated Love,,,,,,Artist,,Agostino Carracci,,Italian,1584,1600.0,Engraving,8 9/16 x 11 5/8 in.  (21.8 x 29.6 cm),"Harris Brisbane Dick Fund, 1927",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/341146,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
26.70.4(66),341485,Drawings and Prints,Print,"Rest on the flight into Egypt, Mary holding and looking at the infant Christ while St. Joseph reads",,,,,,Artist,,Simone Cantarini,,Italian,1632,1642.0,Etching,Sheet (Trimmed): 3 1/4 in. × 5 in. (8.3 × 12.7 cm),"Harris Brisbane Dick Fund, 1926",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/341485,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Reading|Christ|Saint Joseph|Virgin Mary
1987.1141,345964,Drawings and Prints,Book,Meubles Modernes,,,,,,Artist|Manufacturer|Publisher|Lithographer|Manufacturer|Manufacturer,Manufactured by|Published by|Lithographed by|Manufactured by|Manufactured by,L. Bertin|Lucas et Maugery|Ch. Juliot|E. Juliot|Carde|Bouvet,,French|French|French|French|French|French,1875,1890.0,Chromolithography,Overall: 17 1/8 x 13 3/16 x 9/16 in. (43.5 x 33.5 x 1.5 cm),"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1987",,Paris,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/345964,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
41.102.4,346186,Drawings and Prints,Book,Blossoms of Childhood,,,,,,Publisher|Author|Engraver,,"General Protestant Episcopal Sunday School Union, and Church Book Society|A Mother|Childs",,American|American|American,1840,1840.0,Illustrations: wood engraving,6 x 4 x 1/2 in. (15.3 x 10.2 x 1.2 cm),"Anonymous Gift, 1941",,New York,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/346186,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
64.629.3,347789,Drawings and Prints,Book,"The Comical History of Lord Flutter, Lord Spindle and Sir Harry Hopscotch; or, the Bee, the Wasp, and the Ant",,,,,,Publisher,,Arthur Park,,British,1800,1900.0,"Wood engraving, hand colored",9 15/16 x 6 11/16 x 3/16 in. (25.2 x 17 x 0.4 cm),"Gift of Lincoln Kirstein, 1964",,London,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/347789,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
60.609.67,350011,Drawings and Prints,Book,"Seamless Plain Solid Gold Rings, Engraved Rings, Diamond Rings, Mountings, Ladies' Stone Rings, Chains, Diamond Cutters",,,,,,Author,,J. R. Wood & Sons,,American,1902,1902.0,Illustrations: photomechanical process,8 x 5 1/2 in. (20.3 x 14 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/350011,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
1986.1110.1,350542,Drawings and Prints,Book,"Performing Tea Ceremony, The Miyako Odori for 1935, and eight stage sets",,,,,,Author,,"The Gion Dancing and Music School, Kyoto",,Japanese,1930,1940.0,Illustrations: photographic method and color prints,5 × 7 1/4 in. (12.7 × 18.4 cm),"Gift of Lincoln Kirstein, 1986",,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/350542,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
62.688.2,355115,Drawings and Prints,Book,"Exposition Lorraine. L'École de Nancy au Musée de l'Union Centrale des Arts Décoratifs. Pavillon de Marsan, A Paris. Ier Série: Le Moblier",,,,,,Editor|Publisher,Edited by|Published by,Armand Guérinet|Librairie d'Architecture et d'Art Décoratif,,French|French,1900,1910.0,Heliotype print,Overall: 14 1/2 x 12 3/16 x 1 7/16 in. (36.8 x 31 x 3.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,Paris,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/355115,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
66.542.18,357808,Drawings and Prints,Book,Enoch Arden,,,,,,Author|Illustrator|Publisher|Artist|Engraver|Engraver|Printer,Frontispiece after medallion by|Frontispiece medallion by,Alfred Tennyson|Arthur Hughes|Edward Moxon & Company|Thomas Woolner|John H. Baker|Thomas Bolton|Bradbury & Evans,,British|British|British|British|British|British|British,1866,1866.0,Illustrations: wood engraving,8 7/8 x 6 15/16 x 7/8 in. (22.5 x 17.6 x 2.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/357808,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
49.92.13,360463,Drawings and Prints,Drawing,"St. Peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)St. Peter's, exterior, tabernacle, elevation and section at arched opening (verso)",,,,,,Draftsman,Drawn by,"Anonymous, French, 16th century",,French,1500,1560.0,"Dark brown ink, black chalk, and incised lines",sheet: 11 5/8 x 17 1/2 in. (29.5 x 44.5 cm),"Gift of Janos Scholz and Anne Bigelow Scholz, in memory of Flying Officer Walter Bigelow Rosen, RCAF, 1949",,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/360463,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Architecture|Columns|Documents
17.50.18-175,360750,Drawings and Prints,Print,Head of a muscular old man in profile to left with flowing hair,,,,,,Artist|Etcher,After,Leonardo da Vinci|Wenceslaus Hollar,,Italian|Bohemian,1677,1625.0,Etching; only state,Sheet (trimmed to plate edge): 2 3/4 × 2 1/8 in. (7 × 5.4 cm),"Purchase, Joseph Pulitzer Bequest, 1917",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/360750,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Heads|Men|Profiles
60.591.5,363070,Drawings and Prints,Print,"View of the Basilica of San Sebastiano fuori delle mura [St. Sebastian outside the Walls] on the Appian Way, from Vedute di Roma (Roman Views)",,,,,Vedute di Roma,Artist,,Giovanni Battista Piranesi,,Italian,1745,1755.0,Etching; first state of four (Hind),Sheet: 20 1/2 x 30 1/2 in. (52 x 77.5 cm)Plate: 16 7/16 x 26 in. (41.8 x 66 cm),"Gift of Mrs. David Keppel, 1960",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/363070,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Human Figures|Architecture|Buildings|Horses
63.712.91,363754,Drawings and Prints,Drawing,Design for Pointed Utensil with an Egyptian Style Figure on the Handle,,,,,,Artist,,Bernardino Poccetti,,Italian,1548,1612.0,"Pen and brown ink, brush and brown wash, over black chalk.",6 9/16 x 2 1/2 in. (16.6 x 6.4 cm),"Mrs. Regina Slatkin, 1963",,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/363754,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Utilitarian Objects|Men
80.3.286,365646,Drawings and Prints,Drawing,Saint Paul,,,,,,Artist,Imitator of,Guercino (Giovanni Francesco Barbieri),,Italian,1591,1666.0,"Pen and brown ink, brush and brown ink, over lead point or graphite.",sheet: 8 1/8 x 11 1/2 in. (20.6 x 29.2 cm),"Gift of Cornelius Vanderbilt, 1880",,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/365646,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Saint Paul|Writing
1972.607.3,367617,Drawings and Prints,Drawing Ornament & Architecture,Francis W. Little House: Furniture Plan,,,,,,Artist,,Frank Lloyd Wright,and Studio,American,1908,1914.0,Graphite and orange and brown pencil,sheet: 10 9/16 x 36 5/16 in. (26.8 x 92.3 cm)frame: 36 7/8 x 49 in. (93.7 x 124.5 cm),"Purchase, Emily Crane Chadborne Bequest, 1972",,,,,,,,,,,Drawings|Ornament & Architecture,"© 2019 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/367617,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Documents
41.101.2(6),371229,Drawings and Prints,Print,"Theodoric IV from the series Counts and Countesses of Holland, Zeeland, and West-Frisia",,,,,"Counts and Countesses of Holland, Zeeland, and West-Frisia",Artist and publisher|Artist|Author,Engraved by|Written by,Pieter Soutman|Cornelis Visscher|Petrus Scriverius,,Dutch|Dutch|Dutch,1650,1650.0,Engraving and etching; second state of three,sheet: 20 1/2 x 15 1/16 in. (52 x 38.2 cm)plate: 15 13/16 x 11 11/16 in. (40.2 x 29.7 cm),"Gift of Mrs. Hugo Elliot, 1941",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/371229,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
52.519.33.2,377953,Drawings and Prints,Book,L'Art de bâtir des maisons de Campagne,,,,,,Artist|Publisher|Engraver|Engraver|Engraver,Published by|Engraved by|Engraved by|Frontispiece engraved by,Charles Etienne Briseux|Prault Pere|Pierre Edmé Babel|de la Marquade|Pierre Moreau,", Paris",French|French|French|French|French,1743,1743.0,Printed book with engraved illustrations,Overall: 11 1/2 x 8 7/8 x 2 3/16 in. (29.2 x 22.5 x 5.5 cm),"Rogers Fund, 1952",,Paris,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/377953,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
23.112.838,378914,Drawings and Prints,Drawing,"Design for Pony Phaeton, no. 3162",,,,,,Manufacturer,,Brewster & Co.,,American,1875,1875.0,"Pen and black ink, watercolor and gouache",Sheet: 6 5/8 x 9 1/2 in. (16.8 x 24.1 cm),"Gift of William Brewster, 1923",,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/378914,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Carriages
61.669.18,386510,Drawings and Prints,Drawing ; Ornament and architecture,"Ceiling Design, Half of a Circle",,,,,,Artist,,"Anonymous, British, 19th century",,British,1800,1899.0,Watercolor with gold,,"Gift of the Royal Institute of British Architects, 1961",,,,,,,,,,,Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/386510,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Design Elements
29.107.14,391909,Drawings and Prints,Print,Canal with an Angler and Two Swans,,,,,,Artist,,Rembrandt (Rembrandt van Rijn),,Dutch,1643,1653.0,Etching and drypoint; second of two states,Sheet (Trimmed): 3 1/4 × 4 1/4 in. (8.3 × 10.8 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/391909,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Human Figures|Fishing|Swans|Bodies of Water|Canals
2011.214.1–.9,396269,Drawings and Prints,Print,GERYON,,,,,,Artist,,Bruce Conner,,American,1957,1957.0,"Etching, aquatint and drypoint; states 1-8",7 1/4 x 8 7/8 in. (18.4 x 22.5 cm),"John B. Turner Fund, 2011",,,,,,,,,,,Prints,"© 2019 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/396269,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
2011.305,397577,Drawings and Prints,Print,"Syzygy or the Conjunction of the Macrocosmic Unity with the Microcosmic Triunity from Heinrich Khunrath, Amphiteatrum sapientiae aeternae",,,,,,Artist|Author|Artist,After|Attributed to,Hans Vredeman de Vries|Heinrich Khunrath|Peter van der Doort,,Netherlandish|German,1535,1611.0,Engraving from a circular plate,sheet: diameter 16 in. (40.6 cm),"Purchase, C. G. Boerner Gift, 2011",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/397577,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Documents
43.47.258,399078,Drawings and Prints,Print,Horse Group #17,,,,,,Artist|Publisher,,Arthur George Murphy|WPA,,American,1935,1943.0,Lithograph,sheet: 9 5/8 x 13 1/4 in. (24.4 x 33.6 cm),"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/399078,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
43.47.344,399085,Drawings and Prints,Print,Whither Mankind,,,,,,Publisher|Artist,,WPA|Carl Hoeckner,,American,1935,1943.0,Silkscreen,sheet: 18 1/16 x 24 in. (45.9 x 61 cm)image: 12 13/16 x 20 9/16 in. (32.6 x 52.2 cm),"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/399085,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
51.501.4223,399877,Drawings and Prints,Print,"The dream of St Joseph, who is sleeping at the right, the Virgin and Child by a cross surrounded by angels and many putti and with God the Father above",,,,,,Artist|Publisher,,Pietro Testa|Giovanni Giacomo De Rossi,,Italian|Italian,1600,1650.0,Etching,sheet: 14 3/8 x 11 5/8 in. (36.5 x 29.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/399877,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
63.350.222.284.91,400013,Drawings and Prints,Baseball card,"Sullivan, Left Field, Chicago, from the Gold Coin series (N284) for Gold Coin Chewing Tobacco",,,,,,Publisher,,"D. Buchner & Co., New York",,,1887,1887.0,Commercial color lithography reproducing drawings,Sheet: 3 1/16 x 1 3/4 in. (7.7 x 4.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/400013,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Baseball|Athletes
2012.136.939,400018,Drawings and Prints,Print,Section and elevation of the Colosseum in Rome,,,,,,Artist|Publisher,,Giovanni Ambrogio Brambilla|Claudio Duchetti,,Italian|Italian,1581,1581.0,Etching,sheet: 15 1/4 x 21 5/8 in. (38.7 x 55 cm),"Bequest of Phyllis Massar, 2011",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/400018,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Architecture
91.1.74,404850,Drawings and Prints,Print,"Chairing the Members, Plate IV: Four Prints of an Election",,,,,,Engraver|Artist and engraver,,François Antoine Aveline|William Hogarth,,French|British,1758,1758.0,Etching and engraving; third state of three,sheet: 16 9/16 x 22 1/16 in. (42 x 56 cm),"Gift of Sarah Lazarus, 1891",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/404850,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Women|Pigs|Crowd
63.350.201.28.20,410156,Drawings and Prints,Print,"George Bubear, Oarsman, from World's Champions, Series 1 (N28) for Allen & Ginter Cigarettes",,,,,,Lithographer|Publisher,,"Lindner, Eddy & Claus|Allen & Ginter",,American|American,1887,1887.0,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/410156,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Rowing|Athletes
"Burdick 325, R327.130",410683,Drawings and Prints,Baseball card,"Louis Chiozza; verso: Diamond Stars, No. 80 (1934 Averages)",,,,,,Publisher,,"National Chicle Gum Company, Cambridge, Massachusetts",,,1935,1935.0,Commercial color lithograph,Sheet: 2 7/8 x 2 3/8 in. (7.3 x 6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/410683,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
51.501.4016,415848,Drawings and Prints,Print,"Prise de la Ville de Bone (Capture of the City of Bonne), from La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis (The Life of Ferdinand I de'Medici also called The Medici Battles)",,,,,La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis,Artist|Artist,After (?),Jacques Callot|Matteo Rosselli,,French|Italian,1614,1620.0,Engraving; first state of two (Lieure),Sheet: 7 11/16 x 11 5/8 in. (19.6 x 29.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/415848,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
59.644.71,417951,Drawings and Prints,Print,The Impossibility,,,,,,Artist,,Sebald Beham,,German,1548,1548.0,Engraving,Sheet: 3 1/4 x 2 1/8 in. (8.3 x 5.4 cm),"Gift of Harry G. Friedman, 1959",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/417951,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
17.50.17-371(236),419823,Drawings and Prints,Print,"S. Antioche, médecin (St. Antiochus, Doctor), July 15th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)",,,,,Les Images De Tous Les Saincts et Saintes de L'Année,Artist|Publisher,,Jacques Callot|Israël Henriet,,French|French,1636,1636.0,Etching; second state of two (Lieure),Sheet: 2 9/16 x 1 15/16 in. (6.5 x 5 cm),"Purchase, Joseph Pulitzer Bequest, 1917",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/419823,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
31.108.4,428594,Drawings and Prints,Print,Sea-Bass Fisherman,,,,,,Artist,,Gifford Beal,,American,1900,1931.0,Etching,Plate: 8 × 12 in. (20.3 × 30.5 cm)Sheet: 11 5/8 × 15 11/16 in. (29.5 × 39.8 cm),"Robert B. Dodson Fund, 1931",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/428594,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
24.63.1280,428786,Drawings and Prints,Print,Reverse Copy of Madame Bouthillier (Marie de Bragelogne),,,,,,Artist|Artist,After,Robert Nanteuil|Anonymous,,French,1810,1820.0,Engraving,Sheet: 14 13/16 × 11 1/8 in. (37.7 × 28.3 cm)Plate: 12 1/2 × 9 3/8 in. (31.7 × 23.8 cm),"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/428786,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Portraits|Women
"Burdick 314, E42.2",430474,Drawings and Prints,Print,"Reconnoitering, from the Boy Scouts series (E42) for the Fisher Candy Co.",,,,,,Publisher,Issued by,"Fisher Candy Co., Philadelphia",,American,1910,1910.0,Commercial color lithograph,Sheet: 2 5/8 × 1 1/2 in. (6.7 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/430474,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Boys
51.553.2(13),431102,Drawings and Prints,Print,Vues de St. Petersbourg,,,,,,Artist|Printer|Publisher,,"Ferdinand-Victor Perrot|Pohl & Stembach|Daziaro, Moscow and St. Petersburg",,French,1840,1840.0,"Lithography, hand-colored",Sheet: 15 3/8 × 21 7/8 in. (39 × 55.5 cm)Image: 11 3/4 × 19 1/8 in. (29.8 × 48.6 cm),"Gift of Robert D. Brewster, 1951",,Moscow and St. Petersburg,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/431102,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
